Timestamp_ms,SP_Pitch,Pos_Pitch,Vel_Pitch,Vq_Pitch,Vd_Pitch,SP_Yaw,Pos_Yaw,Vel_Yaw,Vq_Yaw,Vd_Yaw
106999,-3,17.46155548,50.10682678,-3,0,0,3.174348593,0.007926269434,0,0
107009,-3,17.98034286,50.91291046,-3,0,0,3.174336672,-0.002432842739,0,0
107019,-3,18.51061249,52.07418442,-3,0,0,3.174306631,-0.02027368918,0,0
107029,-3,19.04006386,51.30109024,-3,0,0,3.174108982,-0.06082106754,0,0
107039,-3,19.55721855,49.98518372,-3,0,0,3.174057961,-0.005280138925,0,0
107049,-3,20.0593853,48.0283699,-3,0,0,3.174055099,-0.0009718148503,0,0
107059,-3,20.5508213,49.14990997,-3,0,0,3.174055099,-0.0009718148503,0,0
107069,-3,21.04426956,50.47418594,-3,0,0,3.174132824,0.02000155859,0,0
107079,-3,21.54814339,51.32183838,-3,0,0,3.174132824,0.02000155859,0,0
107089,-3,22.05230141,50.57636642,-3,0,0,3.174228668,0.03000506014,0,0
107099,-3,22.54064751,50.91209793,-3,0,0,3.174336672,0.02027368918,0,0
107109,-3,23.04447174,49.383461,-3,0,0,3.174363613,0.01784084551,0,0
107119,-3,23.54618263,49.3087883,-3,0,0,3.174363613,0.01784084551,0,0
107129,-3,24.0606308,50.71378326,-3,0,0,3.174354553,-0.0005300050252,0,0
107139,-3,24.5860157,51.65470123,-3,0,0,3.174354553,-0.0005300050252,0,0
107149,-3,25.11897278,51.91037369,-3,0,0,3.174240828,-0.009731370956,0,0
107159,-3,25.63946724,50.53561783,-3,0,0,3.174124002,-0.002422542544,0,0
107169,-3,26.14962196,48.71118546,-3,0,0,3.174088001,-0.004865685478,0,0
107179,-3,26.64309311,48.33450317,-3,0,0,3.174088001,-0.004865685478,0,0
107189,-3,27.13559723,50.24995804,-3,0,0,3.174144983,0.09163707495,0,0
107199,-3,27.63632965,52.84864044,-3,0,0,3.174189806,0.002432842739,0,0
107209,-3,28.14252853,51.35082245,-3,0,0,3.17429781,0.06163201481,0,0
107219,-3,28.64385605,49.72000504,-3,0,0,3.174486399,0.002432842739,0,0
107229,-3,29.14512253,48.24245834,-3,0,0,3.174543381,0.004402286373,0,0
107239,-3,29.64478493,48.4768219,-3,0,0,3.174555302,0.002125700703,0,0
107249,-3,30.1545105,50.10844803,-3,0,0,3.174567223,0.002885026624,0,0
107259,-3,30.67211723,51.42218399,-3,0,0,3.174645185,0.004505264107,0,0
107269,-3,31.20026016,52.53318405,-3,0,0,3.174648285,0.001314994297,0,0
107279,-3,31.72390747,51.0045929,-3,0,0,3.17453742,-0.05108969659,0,0
107289,-3,32.23692703,50.58650208,-3,0,0,3.174492359,-0.003843829501,0,0
107299,-3,32.73402786,50.27865601,-3,0,0,3.174492359,-0.003843829501,0,0
107309,-3,33.22326279,50.02573395,-3,0,0,3.174492359,-0.003843829501,0,0
107319,-3,33.7033577,49.20100021,-3,0,0,3.174723148,0.02030822635,0,0
107329,-3,34.20802689,49.44465256,-3,0,0,3.174777031,0.01993466355,0,0
107339,-3,34.71195221,49.28964996,-3,0,0,3.175061703,0.02545825392,0,0
107349,-3,35.21979141,50.53033829,-3,0,0,3.175223589,0.02545825392,0,0
107359,-3,35.7273941,50.1473732,-3,0,0,3.175274372,0.009151256643,0,0
107369,-3,36.2302742,51.73683167,-3,0,0,3.17544508,0.03035890125,0,0
107379,-3,36.74616241,52.68564224,-3,0,0,3.175912619,0.05108969659,0,0
107389,-3,37.27508545,54.18022156,-3,0,0,3.175996542,0.001315552392,0,0
107399,-3,37.8078537,53.12395859,-3,0,0,3.17592454,-0.05126406625,0,0
107409,-3,38.32896042,52.40530014,-3,0,0,3.175840616,-0.002533134073,0,0
107419,-3,38.83918381,50.58609772,-3,0,0,3.175840616,-0.002533134073,0,0
107429,-3,39.33472443,50.25036621,-3,0,0,3.175840616,-0.002533134073,0,0
107439,-3,39.83285522,49.84245682,-3,0,0,3.175906658,0.01525236759,0,0
107449,-3,40.33818817,50.87155151,-3,0,0,3.176110268,0.04068576545,0,0
107459,-3,40.84687042,49.81245422,-3,0,0,3.176278114,0.04040992633,0,0
107469,-3,41.35137177,49.67569351,-3,0,0,3.176625729,0.0154080037,0,0
107479,-3,41.85375595,48.12000656,-3,0,0,3.177078009,0.06460548937,0,0
107489,-3,42.340271,50.58691025,-3,0,0,3.177482605,0.08190570027,0,0
107499,-3,42.85319138,52.18214798,-3,0,0,3.17807579,0.1329953969,0,0
107509,-3,43.37256241,53.65773392,-3,0,0,3.178399324,0.01702989824,0,0
107519,-3,43.90216827,54.21909332,-3,0,0,3.178399324,0.01702989824,0,0
107529,-3,44.42039871,52.14538956,-3,0,0,3.178330421,-0.004873974249,0,0
107539,-3,44.92763519,51.4439888,-3,0,0,3.17829442,-0.01015411317,0,0
107549,-3,45.41865921,50.08870316,-3,0,0,3.17829442,-0.01015411317,0,0
