Timestamp_ms,SP_Pitch,Pos_Pitch,Vel_Pitch,Vq_Pitch,Vd_Pitch,SP_Yaw,Pos_Yaw,Vel_Yaw,Vq_Yaw,Vd_Yaw,,,,,
946109,0,4166.24951171875,2210.87353515625,-8,0,-0.443603515625,-0.418240547180176,-0.383033126592636,-0.37997117638588,0,,,,,
946114,0,4165.36328125,-337.288024902344,-8,0,-0.445605516433716,-0.420026302337647,-0.450346201658249,-0.467734783887863,0,,,,,
946119,0,4165.43017578125,704.751281738281,-8,0,-0.447607517242432,-0.42183256149292,-0.431498557329178,-0.46036297082901,0,,,,,
946124,0,4165.29736328125,-996.669128417969,-8,0,-0.449609279632568,-0.423666477203369,-0.422118157148361,-0.374837517738342,0,,,,,
946129,0,4166.64404296875,197.484268188477,8,0,-0.451611280441284,-0.425604820251465,-0.412737756967545,-0.429308146238327,0,,,,,
946134,0,4165.6435546875,-868.055541992188,8,0,-0.453588962554932,-0.427474498748779,-0.423681557178497,-0.441482156515121,0,,,,,
946139,0,4165.4345703125,-792.275085449219,-0.527280807495117,0,-0.455590724945068,-0.429385662078857,-0.333004325628281,-0.497010141611099,0,,,,,
946144,0,4165.51318359375,82.9462127685547,8,0,-0.457592725753784,-0.431414127349854,-0.322566300630569,-0.423378378152847,0,,,,,
946149,0,4165.63134765625,-198.601119995117,8,0,-0.4595947265625,-0.433403491973877,-0.323623925447464,-0.383926242589951,0,,,,,
946154,0,4164.517578125,-1110.53820800781,-8,0,-0.461596727371216,-0.4353928565979,-0.383033126592636,-0.451566904783249,0,,,,,
946159,0,4165.69287109375,909.739624023438,8,0,-0.463598728179932,-0.437517166137695,-0.531736195087433,-0.567627131938934,0,,,,,
946164,0,4166.2861328125,333.673706054688,8,0,-0.465600490570068,-0.439533233642578,-0.500288188457489,-0.468253910541534,0,,,,,
946169,0,4165.4921875,712.28857421875,8,0,-0.467602491378784,-0.441558837890625,-0.464531689882278,-0.367829352617264,0,,,,,
946174,0,4165.24267578125,-341.255950927734,1.20908164978027,0,-0.4696044921875,-0.443781852722168,-0.59682559967041,-0.514105796813965,0,,,,,
946179,0,4164.6728515625,531.603332519531,-8,0,-0.471606492996216,-0.445822238922119,-0.422118157148361,-0.341013491153717,0,,,,,
946184,0,4164.49951171875,-1206.47338867188,-8,0,-0.473608493804932,-0.447943210601807,-0.512215375900269,-0.308279871940613,0,,,,,
946189,0,4164.8603515625,635.969482421875,8,0,-0.475610256195068,-0.450214385986328,-0.540936589241028,-0.50677478313446,0,,,,,
946194,0,4164.95361328125,609.80126953125,8,0,-0.477587938308716,-0.452326774597168,-0.314243495464325,-0.344466090202332,0,,,,,
946199,0,4165.76904296875,1268.58923339844,8,0,-0.479589939117432,-0.454492568969727,-0.433768004179001,-0.381749331951141,0,,,,,
946204,0,4165.6357421875,327.394836425781,8,0,-0.481591701507568,-0.456796646118164,-0.343948125839233,-0.366979598999023,0,,,,,
946209,0,4165.7626953125,-35.2552337646484,8,0,-0.483593702316284,-0.459031581878662,-0.451822757720947,-0.403269648551941,0,,,,,
946214,0,4165.46337890625,-865.676330566406,4.22988510131836,0,-0.485595703125,-0.461302757263184,-0.512215375900269,-0.261525869369507,0,,,,,
946219,0,4164.24072265625,-1287.4697265625,-8,0,-0.487597703933716,-0.463651657104492,-0.304863095283508,-0.191016897559166,0,,,,,
946224,0,4164.4580078125,-1236.59509277344,-8,0,-0.489599704742432,-0.465961456298828,-0.559697389602661,-0.337408363819122,0,,,,,
946229,0,4164.75390625,522.947326660156,8,0,-0.491601467132568,-0.468187808990479,-0.406080663204193,-0.353337556123734,0,,,,,
