Timestamp_ms,SP_Pitch,Pos_Pitch,Vel_Pitch,Vq_Pitch,Vd_Pitch,SP_Yaw,Pos_Yaw,Vel_Yaw,Vq_Yaw,Vd_Yaw
543764,-6.9989190101623535,54.13878631591797,75.24742126464844,-6.9989190101623535,0.0,0.0,3.15460467338562,-0.0007763970061205328,0.0,0.0
543767,-6.998395919799805,54.36958312988281,75.38591003417969,-6.998395919799805,0.0,0.0,3.15460467338562,-0.0007763970061205328,0.0,0.0
543770,-6.997783184051514,54.57581329345703,74.19210052490234,-6.997783184051514,0.0,0.0,3.15460467338562,-0.0007763970061205328,0.0,0.0
543773,-6.997071743011475,54.802406311035156,73.16595458984375,-6.997071743011475,0.0,0.0,3.15455961227417,-0.02430480718612671,0.0,0.0
543776,-6.9962615966796875,55.03346633911133,76.32061767578125,-6.9962615966796875,0.0,0.0,3.1544458866119385,-0.028548503294587135,0.0,0.0
543779,-6.995352268218994,55.26701354980469,75.89106750488281,-6.995352268218994,0.0,0.0,3.1543290615081787,-0.02911381982266903,0.0,0.0
543782,-6.994344711303711,55.49726867675781,74.71235656738281,-6.994344711303711,0.0,0.0,3.154224157333374,-0.03921358287334442,0.0,0.0
543785,-6.9932379722595215,55.70710754394531,75.94573211669922,-6.9932379722595215,0.0,0.0,3.1541311740875244,-0.019835803657770157,0.0,0.0
543788,-6.992006778717041,55.94194793701172,77.5778579711914,-6.992006778717041,0.0,0.0,3.1540744304656982,-0.014274251647293568,0.0,0.0
543791,-6.9907002449035645,56.17497253417969,74.98997497558594,-6.9907002449035645,0.0,0.0,3.1540234088897705,-0.014707639813423157,0.0,0.0
543794,-6.989295482635498,56.40659713745117,76.19131469726562,-6.989295482635498,0.0,0.0,3.1540143489837646,-0.009890726767480373,0.0,0.0
543797,-6.987791538238525,56.63837432861328,76.42919158935547,-6.987791538238525,0.0,0.0,3.1540143489837646,-0.009890726767480373,0.0,0.0
543800,-6.986189365386963,56.84499740600586,74.67472076416016,-6.986189365386963,0.0,0.0,3.1540143489837646,-0.009890726767480373,0.0,0.0
543803,-6.984488487243652,57.073062896728516,74.44426727294922,-6.984488487243652,0.0,0.0,3.1540143489837646,-0.009890726767480373,0.0,0.0
543806,-6.9826507568359375,57.303565979003906,77.37506866455078,-6.9826507568359375,0.0,0.0,3.154182195663452,0.09881822764873505,0.0,0.0
543809,-6.980750560760498,57.53284454345703,73.75435638427734,-6.980750560760498,0.0,0.0,3.15437388420105,0.06924367696046829,0.0,0.0
543812,-6.9787516593933105,57.75735855102539,72.00437927246094,-6.9787516593933105,0.0,0.0,3.1545026302337646,0.0578685887157917,0.0,0.0
